seed,episode,soups,sampled_roles,teacher_roles,evolving_roles,static_roles
0,257,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,258,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,259,4.0,2-2-0,0-1-2,0-1-2,0-0-1
0,260,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,261,0.0,0-1-2,0-2-1,0-1-2,0-0-1
0,262,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,263,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,264,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,265,0.0,2-2-0,0-1-2,0-1-2,0-0-1
0,266,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,267,3.0,2-0-2,0-1-2,0-1-2,0-0-1
0,268,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,269,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,270,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,271,2.0,0-2-0,0-1-2,0-1-2,0-0-1
0,272,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,273,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,274,0.0,2-1-1,0-1-2,0-1-2,0-0-1
0,275,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,276,0.0,0-1-2,0-2-1,0-1-2,0-0-1
0,277,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,278,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,279,0.0,0-0-1,0-1-2,0-1-2,0-0-1
0,280,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,281,0.0,0-0-0,0-1-2,0-1-2,0-0-1
0,282,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,283,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,284,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,285,6.0,2-0-1,0-1-2,0-1-2,0-0-1
0,286,0.0,0-1-2,0-2-1,0-1-2,0-0-1
0,287,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,288,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,289,0.0,0-1-2,0-2-1,0-1-2,0-0-1
0,290,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,291,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,292,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,293,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,294,0.0,0-0-0,0-1-2,0-1-2,0-0-1
0,295,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,296,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,297,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,298,4.0,2-1-1,0-1-2,0-1-2,0-0-1
0,299,0.0,0-1-2,0-2-1,0-1-2,0-0-1
0,300,0.0,1-2-0,0-1-2,0-1-2,0-0-1
0,301,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,302,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,303,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,304,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,305,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,306,0.0,0-1-2,0-2-1,0-1-2,0-0-1
0,307,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,308,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,309,6.0,1-2-0,0-1-2,0-1-2,0-0-1
0,310,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,311,0.0,2-0-0,0-1-2,0-1-2,0-0-1
0,312,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,313,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,314,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,315,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,316,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,317,0.0,0-1-2,0-2-1,0-1-2,0-0-1
0,318,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,319,4.0,1-2-2,0-1-2,0-1-2,0-0-1
