seed,episode,condition,soups,teacher_role_correct,chosen_roles,teacher_roles,proposals
0,86,frozen_etm,2.0,1,0-1-2,1-0-2,0-1-2
0,86,dynamic_etm,2.0,1,0-1-2,1-0-2,0-1-2
0,87,no_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,87,frozen_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,87,dynamic_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,88,no_etm,0.0,2,0-1-2,0-0-2,0-0-2
0,88,frozen_etm,0.0,2,0-1-2,0-0-2,0-0-2
0,88,dynamic_etm,0.0,2,0-1-2,0-0-2,0-0-2
0,89,no_etm,2.0,1,0-1-2,1-0-2,0-1-2
0,89,frozen_etm,2.0,1,0-1-2,1-0-2,0-1-2
0,89,dynamic_etm,2.0,1,0-1-2,1-0-2,0-1-2
0,90,no_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,90,frozen_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,90,dynamic_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,91,no_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,91,frozen_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,91,dynamic_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,92,no_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,92,frozen_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,92,dynamic_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,93,no_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,93,frozen_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,93,dynamic_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,94,no_etm,1.0,1,0-1-2,1-0-2,0-1-2
0,94,frozen_etm,1.0,1,0-1-2,1-0-2,0-1-2
0,94,dynamic_etm,1.0,1,0-1-2,1-0-2,0-1-2
0,95,no_etm,1.0,1,0-1-2,1-0-2,0-1-2
0,95,frozen_etm,1.0,1,0-1-2,1-0-2,0-1-2
0,95,dynamic_etm,1.0,1,0-1-2,1-0-2,0-1-2
0,96,no_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,96,frozen_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,96,dynamic_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,97,no_etm,2.0,1,0-1-2,1-0-2,0-1-2
0,97,frozen_etm,2.0,1,0-1-2,1-0-2,0-1-2
0,97,dynamic_etm,2.0,1,0-1-2,1-0-2,0-1-2
0,98,no_etm,0.0,1,0-1-2,1-0-2,0-0-2
0,98,frozen_etm,0.0,1,0-1-2,1-0-2,0-0-2
0,98,dynamic_etm,0.0,1,0-1-2,1-0-2,0-0-2
0,99,no_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,99,frozen_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,99,dynamic_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,100,no_etm,2.0,1,0-1-2,1-0-2,0-1-2
0,100,frozen_etm,2.0,1,0-1-2,1-0-2,0-1-2
0,100,dynamic_etm,2.0,1,0-1-2,1-0-2,0-1-2
0,101,no_etm,1.0,2,0-0-2,1-0-2,0-0-2
0,101,frozen_etm,1.0,1,0-1-2,1-0-2,0-0-2
0,101,dynamic_etm,1.0,2,0-0-2,1-0-2,0-0-2
0,102,no_etm,2.0,1,0-1-2,1-0-2,0-1-2
0,102,frozen_etm,2.0,1,0-1-2,1-0-2,0-1-2
0,102,dynamic_etm,2.0,1,0-1-2,1-0-2,0-1-2
0,103,no_etm,1.0,2,0-0-2,0-1-2,0-0-2
0,103,frozen_etm,2.0,3,0-1-2,0-1-2,0-0-2
0,103,dynamic_etm,1.0,2,0-0-2,0-1-2,0-0-2
0,104,no_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,104,frozen_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,104,dynamic_etm,0.0,2,0-0-2,0-1-2,0-1-2
0,105,no_etm,1.0,2,0-0-2,0-1-2,0-0-2
0,105,frozen_etm,1.0,2,0-0-2,0-1-2,0-0-2
0,105,dynamic_etm,1.0,2,0-0-2,0-1-2,0-0-2
0,106,no_etm,1.0,2,0-0-2,0-1-2,0-0-2
0,106,frozen_etm,1.0,2,0-0-2,0-1-2,0-0-2
0,106,dynamic_etm,1.0,2,0-0-2,0-1-2,0-0-2
0,107,no_etm,0.0,2,0-0-2,1-0-2,0-0-2
0,107,frozen_etm,0.0,2,0-0-2,1-0-2,0-0-2
0,107,dynamic_etm,0.0,2,0-0-2,1-0-2,0-0-2
0,108,no_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,108,frozen_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,108,dynamic_etm,0.0,2,0-0-2,0-1-2,0-1-2
0,109,no_etm,1.0,2,0-0-2,1-0-2,0-0-2
