seed,episode,soups,sampled_roles,teacher_roles,observed_roles
2,279,6.0,0-1-2,0-1-2,0-1-2
2,280,0.0,0-2-2,0-1-2,0-2-2
2,281,6.0,0-1-2,0-1-2,0-1-2
2,282,6.0,0-1-2,0-1-2,0-1-2
2,283,4.0,2-1-1,0-1-2,0-1-2
2,284,0.0,0-1-0,0-1-2,0-1-2
2,285,0.0,0-1-0,0-1-2,0-1-2
2,286,6.0,0-1-2,0-1-2,0-1-2
2,287,4.0,1-1-2,0-2-1,0-1-2
2,288,0.0,0-1-2,0-2-1,0-1-2
2,289,6.0,0-1-2,0-1-2,0-1-2
2,290,4.0,1-1-2,0-1-2,0-1-2
2,291,6.0,0-1-2,0-1-2,0-1-2
2,292,6.0,0-1-2,0-1-2,0-1-2
2,293,6.0,0-1-2,0-1-2,0-1-2
2,294,6.0,0-1-2,0-1-2,0-1-2
2,295,6.0,0-1-2,0-1-2,0-1-2
2,296,0.0,1-1-0,0-2-1,0-1-2
2,297,6.0,0-1-2,0-1-2,0-1-2
2,298,6.0,0-1-2,0-1-2,0-1-2
2,299,6.0,0-1-2,0-1-2,0-1-2
2,300,6.0,0-1-2,0-1-2,0-1-2
2,301,6.0,0-1-2,0-1-2,0-1-2
2,302,6.0,0-1-2,0-1-2,0-1-2
2,303,6.0,0-1-2,0-1-2,0-1-2
2,304,0.0,1-0-0,0-1-2,0-1-2
2,305,6.0,0-1-2,0-1-2,0-1-2
2,306,6.0,0-1-2,0-1-2,0-1-2
2,307,6.0,0-1-2,0-1-2,0-1-2
2,308,6.0,0-1-2,0-1-2,0-1-2
2,309,6.0,0-1-2,0-1-2,0-1-2
2,310,6.0,0-1-2,0-1-2,0-1-2
2,311,0.0,1-0-0,0-1-2,0-1-2
2,312,6.0,0-1-2,0-1-2,0-1-2
2,313,6.0,0-1-2,0-1-2,0-1-2
2,314,6.0,0-1-2,0-1-2,0-1-2
2,315,6.0,0-1-2,0-1-2,0-1-2
2,316,3.0,1-2-2,0-1-2,0-1-2
2,317,6.0,0-1-2,0-1-2,0-1-2
2,318,0.0,0-1-1,0-2-1,0-1-2
2,319,0.0,0-1-2,0-2-1,0-1-2
2,320,6.0,0-1-2,0-1-2,0-1-2
2,321,6.0,0-1-2,0-1-2,0-1-2
2,322,6.0,0-1-2,0-1-2,0-1-2
2,323,6.0,0-1-2,0-1-2,0-1-2
2,324,6.0,0-1-2,0-1-2,0-1-2
2,325,4.0,2-0-0,0-1-2,0-1-2
2,326,6.0,0-1-2,0-1-2,0-1-2
2,327,6.0,0-1-2,0-1-2,0-1-2
2,328,6.0,0-1-2,0-1-2,0-1-2
2,329,6.0,0-1-2,0-1-2,0-1-2
2,330,6.0,0-1-2,0-1-2,0-1-2
2,331,6.0,0-1-2,0-1-2,0-1-2
2,332,4.0,2-2-1,0-1-2,0-1-2
2,333,6.0,0-1-2,0-1-2,0-1-2
2,334,6.0,0-1-2,0-1-2,0-1-2
2,335,4.0,2-0-0,0-1-2,0-1-2
2,336,0.0,0-1-2,0-2-1,0-1-2
2,337,0.0,0-1-2,0-2-1,0-1-2
2,338,6.0,0-1-2,0-1-2,0-1-2
2,339,6.0,0-1-2,0-1-2,0-1-2
2,340,6.0,0-1-2,0-1-2,0-1-2
2,341,6.0,0-1-2,0-1-2,0-1-2
2,342,0.0,0-1-2,0-2-1,0-1-2
2,343,6.0,0-1-2,0-1-2,0-1-2
2,344,0.0,0-1-2,0-2-1,0-1-2
2,345,6.0,0-1-2,0-1-2,0-1-2
2,346,6.0,0-1-2,0-1-2,0-1-2
2,347,0.0,0-1-2,0-2-1,0-1-2
2,348,6.0,0-1-2,0-1-2,0-1-2
2,349,6.0,0-1-2,0-1-2,0-1-2
2,350,6.0,0-1-2,0-1-2,0-1-2
2,351,6.0,0-1-2,0-1-2,0-1-2
2,352,0.0,0-2-2,0-1-2,0-2-2
2,353,6.0,0-1-2,0-1-2,0-1-2
2,354,3.0,0-2-2,0-2-1,0-2-2
2,355,6.0,0-1-2,0-1-2,0-1-2
2,356,6.0,0-1-2,0-1-2,0-1-2
2,357,0.0,0-2-2,0-1-2,0-2-2
2,358,6.0,0-1-2,0-1-2,0-1-2
2,359,6.0,2-1-0,0-1-2,0-1-2
3,0,6.0,1-2-0,1-2-0,0-2-0
3,1,4.0,1-2-1,1-2-1,0-2-0
3,2,3.0,2-2-1,2-2-1,0-2-0
3,3,0.0,0-2-2,0-2-2,0-2-0
3,4,0.0,1-1-0,2-2-1,0-2-1
3,5,0.0,0-1-1,1-2-1,0-2-1
3,6,4.0,0-2-2,0-2-2,0-2-1
3,7,0.0,1-1-0,1-1-0,0-2-1
3,8,6.0,1-2-0,1-2-0,0-2-1
3,9,0.0,0-1-1,2-2-1,0-2-1
3,10,1.0,0-0-2,0-2-2,0-2-1
3,11,4.0,2-1-1,2-1-1,1-2-1
3,12,4.0,2-1-1,0-2-2,1-2-1
3,13,0.0,1-1-1,2-1-1,1-2-1
3,14,0.0,2-2-2,1-2-0,1-2-1
3,15,6.0,2-0-1,2-0-1,1-2-1
3,16,6.0,0-1-2,0-1-2,1-2-1
3,17,0.0,1-0-0,1-2-0,1-2-1
3,18,0.0,2-2-2,2-0-1,1-2-1
3,19,4.0,2-0-0,0-1-2,1-2-1
3,20,6.0,0-2-1,0-2-1,1-2-1
3,21,4.0,1-2-2,0-1-2,1-2-1
3,22,4.0,1-2-2,1-2-2,1-2-1
3,23,6.0,0-2-1,0-2-1,0-2-1
3,24,0.0,0-0-0,0-1-2,0-2-1
3,25,4.0,2-0-0,1-2-2,0-2-1
3,26,0.0,1-0-1,0-2-1,0-2-1
3,27,0.0,1-1-0,0-1-2,0-2-1
3,28,0.0,2-0-1,2-2-1,0-2-1
3,29,6.0,1-2-0,1-2-0,0-2-1
3,30,0.0,0-0-0,2-2-1,0-2-1
3,31,4.0,0-2-2,0-2-1,0-2-1
3,32,6.0,0-2-1,0-2-1,0-2-1
3,33,6.0,0-1-2,0-1-2,0-2-1
3,34,0.0,0-0-1,0-2-1,0-2-1
3,35,0.0,1-0-1,2-2-1,0-2-1
3,36,3.0,0-2-2,0-1-2,0-2-1
3,37,0.0,0-0-0,0-2-1,0-2-1
3,38,0.0,0-2-0,0-2-1,0-2-1
3,39,0.0,1-0-0,0-2-1,0-2-1
3,40,0.0,2-0-2,0-1-2,0-2-1
3,41,0.0,1-1-1,0-2-1,0-2-1
3,42,6.0,2-0-1,1-2-0,0-2-1
3,43,4.0,2-0-2,1-2-0,0-2-1
3,44,6.0,2-0-1,0-2-1,0-2-1
3,45,0.0,1-0-1,1-2-0,0-2-1
3,46,0.0,0-0-1,1-2-0,0-2-1
