scenario,candidate,responder,observer,own_role,own_x,own_y,belief_0,belief_1,soups
12,2,0,2,2,10,3,"[0.3016951300590286, 0.1956837398253528, 0.5026211301156186]","[0.6101330345467831, 0.3074403936091364, 0.08242657184408049]",0.0
13,0,1,0,0,6,3,"[0.8036736781067871, 0.10660146733605134, 0.08972485455716152]","[0.21508198445920568, 0.5340081277106953, 0.25090988783009904]",0.0
13,0,1,1,0,2,3,"[0.49094960626095013, 0.23050095380639063, 0.2785494399326592]","[0.14672201531611193, 0.6147707681043273, 0.23850721657956078]",0.0
13,0,1,2,1,10,3,"[0.8200388848914122, 0.10492391749502383, 0.07503719761356398]","[0.5287957888818989, 0.11940196190883395, 0.3518022492092671]",0.0
13,1,1,0,0,6,3,"[0.10660146733605134, 0.8036736781067871, 0.08972485455716152]","[0.21508198445920568, 0.5340081277106953, 0.25090988783009904]",0.0
13,1,1,1,1,2,3,"[0.49094960626095013, 0.23050095380639063, 0.2785494399326592]","[0.14672201531611193, 0.6147707681043273, 0.23850721657956078]",0.0
13,1,1,2,1,10,3,"[0.8200388848914122, 0.10492391749502383, 0.07503719761356398]","[0.11940196190883395, 0.5287957888818989, 0.3518022492092671]",0.0
13,2,1,0,0,6,3,"[0.10660146733605134, 0.08972485455716152, 0.8036736781067871]","[0.21508198445920568, 0.5340081277106953, 0.25090988783009904]",2.0
13,2,1,1,2,2,3,"[0.49094960626095013, 0.23050095380639063, 0.2785494399326592]","[0.14672201531611193, 0.6147707681043273, 0.23850721657956078]",2.0
13,2,1,2,1,10,3,"[0.8200388848914122, 0.10492391749502383, 0.07503719761356398]","[0.11940196190883395, 0.3518022492092671, 0.5287957888818989]",2.0
14,0,2,0,0,2,3,"[0.2913223412884704, 0.5439737190013834, 0.16470393971014624]","[0.6539265351225149, 0.13264422864115566, 0.2134292362363295]",0.0
14,0,2,1,1,10,3,"[0.7955858985273476, 0.06260827253817135, 0.14180582893448104]","[0.5032035113656885, 0.23131232557673798, 0.26548416305757355]",0.0
14,0,2,2,0,6,3,"[0.6516325100996573, 0.245278566279819, 0.10308892362052371]","[0.20331780581555792, 0.6724716930962326, 0.12421050108820952]",0.0
14,1,2,0,0,2,3,"[0.2913223412884704, 0.5439737190013834, 0.16470393971014624]","[0.13264422864115566, 0.6539265351225149, 0.2134292362363295]",0.0
14,1,2,1,1,10,3,"[0.7955858985273476, 0.06260827253817135, 0.14180582893448104]","[0.23131232557673798, 0.5032035113656885, 0.26548416305757355]",0.0
14,1,2,2,1,6,3,"[0.6516325100996573, 0.245278566279819, 0.10308892362052371]","[0.20331780581555792, 0.6724716930962326, 0.12421050108820952]",0.0
14,2,2,0,0,2,3,"[0.2913223412884704, 0.5439737190013834, 0.16470393971014624]","[0.13264422864115566, 0.2134292362363295, 0.6539265351225149]",2.0
14,2,2,1,1,10,3,"[0.7955858985273476, 0.06260827253817135, 0.14180582893448104]","[0.23131232557673798, 0.26548416305757355, 0.5032035113656885]",2.0
14,2,2,2,2,6,3,"[0.6516325100996573, 0.245278566279819, 0.10308892362052371]","[0.20331780581555792, 0.6724716930962326, 0.12421050108820952]",2.0
15,0,0,0,0,2,3,"[0.23044563162958165, 0.5795562598868712, 0.18999810848354715]","[0.265016751111186, 0.1245562554130005, 0.6104269934758135]",2.0
15,0,0,1,1,6,3,"[0.5016852014892466, 0.39804636765523593, 0.10026843085551752]","[0.08489021303345472, 0.29074086086045564, 0.6243689261060896]",2.0
15,0,0,2,2,10,3,"[0.6834322604819031, 0.19104052639819355, 0.12552721311990336]","[0.17615544687363457, 0.7770998075469049, 0.04674474557946054]",2.0
15,1,0,0,1,2,3,"[0.23044563162958165, 0.5795562598868712, 0.18999810848354715]","[0.265016751111186, 0.1245562554130005, 0.6104269934758135]",0.0
15,1,0,1,1,6,3,"[0.39804636765523593, 0.5016852014892466, 0.10026843085551752]","[0.08489021303345472, 0.29074086086045564, 0.6243689261060896]",0.0
15,1,0,2,2,10,3,"[0.19104052639819355, 0.6834322604819031, 0.12552721311990336]","[0.17615544687363457, 0.7770998075469049, 0.04674474557946054]",0.0
15,2,0,0,2,2,3,"[0.23044563162958165, 0.5795562598868712, 0.18999810848354715]","[0.265016751111186, 0.1245562554130005, 0.6104269934758135]",1.0
15,2,0,1,1,6,3,"[0.39804636765523593, 0.10026843085551752, 0.5016852014892466]","[0.08489021303345472, 0.29074086086045564, 0.6243689261060896]",1.0
15,2,0,2,2,10,3,"[0.19104052639819355, 0.12552721311990336, 0.6834322604819031]","[0.17615544687363457, 0.7770998075469049, 0.04674474557946054]",1.0
16,0,1,0,2,10,3,"[0.6602850095033806, 0.09562588186334658, 0.24408910863327277]","[0.10744692650074254, 0.5534431818620402, 0.3391098916372172]",1.0
16,0,1,1,0,6,3,"[0.3139722328543224, 0.16905070486887228, 0.5169770622768053]","[0.3156268582363867, 0.5107559982572019, 0.17361714350641147]",1.0
16,0,1,2,1,2,3,"[0.3193003646577205, 0.1903418693379808, 0.4903577660042987]","[0.6907341688885555, 0.22904528051204892, 0.08022055059939552]",1.0
